Words are...
welding process selection
We are sending from 135.148.33.143
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=welding%20process%20selection&as_epq=&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=1991&as_yhi=1995&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
SELECTION AND APPLICATION OF DISSIMILAR METAL WELDING PROCESS [J]|Z Guojiu - Welding & Joining, 1992 - en.cnki.com.cn|https://scholar.google.com/https://en.cnki.com.cn/Article_en/CJFDTotal-HAJA199205007.htm|1992|1|0|10350331232262387725|None|https://scholar.google.com/scholar?cites=10350331232262387725&as_sdt=2005&sciodt=1,5&hl=en|None|None|A selective experiment is carried out for the welding procedure of 1Cr18Ni9Ti and 12Cr1MoV steel tubes with cannula joint. The correct procedure is found to avoid any cracking in the joint. The process is applied to engineering products and delightful results …
… 에서 로보트 선정을 고려한 공정계획 알고리즘 개발= Development of process planning algorithm considering selection of robot in car body spot welding …|강신길 - 1991 - koasas.kaist.ac.kr|https://scholar.google.com/https://koasas.kaist.ac.kr/handle/10203/41353|1991|0|0|None|None|None|None|None|학위논문(석사) - 한국과학기술원 : 산업공학과, 1991.2, [ [v], 98 p. ] … Files in This Item There are no files associated with this item … Items in DSpace are protected by copyright, with all rights reserved, unless otherwise indicated … Academic Information Development Team, KAIST …
Welding Process Selection|JA Sanchez - 1992|None|1992|0|0|None|None|None|None|None|None
A contribution to the study of the selection of variables in the pulsed GMAW welding process|JC Dutra, LF Olle, ER Kirst - IIW Latin American Regional Welding Congress(IIW …, 1992|None|1992|0|0|None|None|None|None|None|None
About the Selection of Dilatometric Control Parameters and Monitoring of the Spot Welding Process|SN Kozlovskii - Svarochnoe Proizvodstvo(Russia), 1991|None|1991|0|0|None|None|None|None|None|None
