Words are...
welding process selection
We are sending from 135.148.33.143
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=welding%20process%20selection&as_epq=&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=1986&as_yhi=1990&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Welding advisory system for process selection “WASPS”|GL Lovegrove, GJ Curtis, RA Farrar - Proceedings of the 2nd …, 1989 - dl.acm.org|https://scholar.google.com/https://dl.acm.org/doi/abs/10.1145/66617.66669|1989|4|3|10934820640004668569|None|https://scholar.google.com/scholar?cites=10934820640004668569&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=10934820640004668569&hl=en&as_sdt=1,5&as_ylo=1986&as_yhi=1990|None|There are a very large number of processes available to the welding engineer who must decide which is most appropriate for a particular application. The factors taken into consideration include the cost of the weld, its failure rate, base metal, dimensions, shape …
Which Process?: A Guide to the Selection of Welding and Related Processes|PT Houldcroft - 1990 - books.google.com|https://scholar.google.com/https://books.google.com/books?hl=en&lr=&id=jKyjAgAAQBAJ&oi=fnd&pg=PP1&dq=+welding+process+selection&ots=NQ76rX2ywy&sig=89ahad6njw2HsHLaYIm4PFNx1e8|1990|22|3|9037745424843657146|None|https://scholar.google.com/scholar?cites=9037745424843657146&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=9037745424843657146&hl=en&as_sdt=1,5&as_ylo=1986&as_yhi=1990|None|The author presents a unique scheme for selecting processes at the drawing board stage where a need for a connection is usually first perceived. Leading the enquirer through a series of diagrams and tables, he reveals the processes which are feasible for a particular …
WASPS'-an advisory system for welding process selection|G Curtis, GL Lovegrove, R Farrar - Welding and Metal Fabrication, 1990|None|1990|1|0|17166365782616894677|None|https://scholar.google.com/scholar?cites=17166365782616894677&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Development of a Concept for a Computer-based Expert System for Arc Welding Process Selection|RHA Seidel, O Rieck - 1990 - Department of Mechanical …|None|1990|0|0|None|None|None|None|None|None
PROPER SELECTION OF MATERIALS AND WELDING TECHNIQUES FOR PROCESS EQUIPMENT|KF KRYSIAK - JOURNAL OF THE AMERICAN …, 1988 - AMER OIL CHEMISTS SOC 1608 …|None|1988|0|0|None|None|None|None|None|None
Process Parameters Selection for Projection Welding of Titanium With Steel|OG Bykovskii, IV Pin'kovskii, SN Minyailo, G Krasnova - Avtom. Svarka, 1988|None|1988|1|0|14712194672579643536|None|https://scholar.google.com/scholar?cites=14712194672579643536&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
