DAS IST PHRASE!
"Materialauswahl"
We are sending from 151.237.185.110
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=&as_epq=%22Materialauswahl%22&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=1996&as_yhi=2000&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Bau einer Kapillarsperre im Oberflächenabdichtungssystem der Deponie Breinermoor–Teil 2: Materialauswahl und bautechnische Erfahrungen|N von der Hude, S Melchior, S Möckel - Müll und Abfall, 1999 - muellundabfall.de|https://scholar.google.com/https://www.muellundabfall.de/ce/bau-einer-kapillarsperre-im-oberflaechenabdichtungssystem-der-deponie-breinermoor-teil-2/detail.html|1999|7|2|12509365561065045740|None|https://scholar.google.com/scholar?cites=12509365561065045740&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|https://scholar.google.com/scholar?cluster=12509365561065045740&hl=en&oe=ASCII&as_sdt=1,5&as_ylo=1996&as_yhi=2000|None|In der zweiten Jahreshälfte 1998 wurde auf der Zentraldeponie Breinermoor im Landkreis Leer, Ostfriesland, eine Kapillarsperre als Teil einer neuartigen Oberflächenabdichtung auf einer Hangfläche von 2 ha hergestellt. Das Projekt läuft seit mehreren Jahren und umfaßte die …
Ergebnisse der Atomabsorptionsspektralanalyse zur Materialauswahl in der Antike|J Riederer - VoßH U–Hammer P-Lutz J (eds), 1998|None|1998|4|0|1643946529263771214|None|https://scholar.google.com/scholar?cites=1643946529263771214&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
Methode und Materialauswahl|HL von Berg - Politische Mitte und Rechtsextremismus, 2000 - Springer|https://scholar.google.com/https://link.springer.com/chapter/10.1007/978-3-663-11086-6_2|2000|0|0|None|None|None|None|None|Zusammenfassung Um Anlage und Fragestellung dieser Arbeit gerecht zu werden, müssen die Methoden sowohl bei der Materialauswahl als auch bei der Codierung und der Interpretation der Reden offen und flexibel sein, denn nur dadurch können die …
Konstrukteure dürfen träumen-Verbindungstechnik revolutioniert die Materialauswahl|D Capelle - SCOPE, 2000|None|2000|2|0|6807737560730055230|None|https://scholar.google.com/scholar?cites=6807737560730055230&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
Eignung verschiedener Materialien für Kapillarsperren—Materialauswahl und Dimensionierung.-[in Vorbereitung]|E Bauer - 1998|None|1998|2|0|13592646202864637851|None|https://scholar.google.com/scholar?cites=13592646202864637851&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
Materialauswahl und Recycling-Grune Welle|WP Schmidt, M Corley… - ATZ …, 2000 - Berlin: Automobiltechnischer Verlag …|None|2000|1|0|17059056595061652922|None|https://scholar.google.com/scholar?cites=17059056595061652922&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
Materialauswahl für dünne Schichten mit extrem hohem spezifischen elektrischen Widerstand und Charakterisierung des Herstellprozesses für diskrete …|R Veyhl - 1996 - Technische Universität …|None|1996|1|0|8605231312267751541|None|https://scholar.google.com/scholar?cites=8605231312267751541&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
