DAS IST PHRASE!
"Materialauswahl"
We are sending from 151.237.185.110
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=&as_epq=%22Materialauswahl%22&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=2001&as_yhi=2005&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
… handlungsorientierten Fremdsprachenunterricht: ein praktischer Leitfaden mit zahlreichen kreativen Unterrichtsideen und reichhaltiger Materialauswahl|C Schelhaas - 2003 - Tectum-Verlag|None|2003|17|0|5977363583872201905|None|https://scholar.google.com/scholar?cites=5977363583872201905&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
Korrosionsprufung-eine wichtige Basis fur die Materialauswahl|J Geis-Gerstofer, F Rupp… - QUINTESSENZ …, 2005 - QUINTESSENZ VERLAGS-GMBH|None|2005|4|0|2372091150763652891|None|https://scholar.google.com/scholar?cites=2372091150763652891&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
Naturfasergerechte Konstruktion–Bauweisen und Materialauswahl|E Köhler, S Odenwald, A Bergner - Konferenz-Einzelbericht: 3. Internationales …, 2001|None|2001|2|0|14670744507324104248|None|https://scholar.google.com/scholar?cites=14670744507324104248&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
1 Anforderungen an Instrumente zur Materialauswahl-wie werden sie durch euroMat realisiert?|G Fleischer, J Becker, U Braunmiller, F Klocke…|None|None|0|0|None|None|None|None|None|None
Materialauswahl, Herstellungs-und Bearbeitungsverfahren von chirurgischen Instrumenten des 18. und 19. Jahrhunderts im Vergleich zum heutigen …|J Braun - 2004 - Johann Wolfgang Goethe …|None|2004|0|0|None|None|None|None|None|None
Kriterien der Materialauswahl in der Orthopadie-Schuhtechnik|H Biermann - ORTHOPADIE TECHNIK, 2004 - VERLAG ORTHOPAEDIE-TECHNIK|None|2004|0|0|None|None|None|None|None|None
