Words are...
joining technology
DAS IST PHRASE!
"selection of" OR "selection for"
We are sending from 185.174.43.7
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=joining%20technology&as_epq=%22selection%20of%22%20OR%20%22selection%20for%22&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=2016&as_yhi=2020&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Concurrent selection of material and joining technology–holistically relevant aspects and its mutual interrelations in lightweight engineering|J Kaspar, SA Choudry, M Vielhaber - Procedia Cirp, 2018 - Elsevier|https://scholar.google.com/https://www.sciencedirect.com/science/article/pii/S2212827118301975|2018|16|3|3112716768138842603|None|https://scholar.google.com/scholar?cites=3112716768138842603&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=3112716768138842603&hl=en&as_sdt=1,5&as_ylo=2016&as_yhi=2020|None|Apart from the emerging futuristic vision of a fourth industrial revolution, today the issue of lightweight design is considered to be one of the most predominant innovation drivers and technology trends within product development. However, this lightweight-related system …
Concurrent and geometry-dependent selection of material and joining technology—An initial utility-based systematic decision-making tool|J Kaspar, SA Choudry, D Landgrebe… - 2018 Annual IEEE …, 2018 - ieeexplore.ieee.org|https://scholar.google.com/https://ieeexplore.ieee.org/abstract/document/8369549/|2018|10|0|11631424354157355341|None|https://scholar.google.com/scholar?cites=11631424354157355341&as_sdt=2005&sciodt=1,5&hl=en|None|None|Today, the requested multi-objective engineering design process is difficult and time-consuming when faced with the large number of available materials and its complex relations to design as well as manufacturing and joining processes. For this specific …
Systemic Assessment and Selection of Material and Joining Technology Exemplarily Applied on the Automotive Bodywork|J Kaspar, SA Choudry, M Vielhaber - Procedia CIRP, 2020 - Elsevier|https://scholar.google.com/https://www.sciencedirect.com/science/article/pii/S2212827120308088|2020|0|0|None|None|None|None|None|Due to the increasingly stringent environmental regulations for more sustainable products and processes, as well as the enhanced pressure on competition and costs, in particular the automotive industry is currently facing various challenges. The trend towards a system …
