Words are...
welding technology
DAS IST PHRASE!
"choice of"
We are sending from 141.136.0.117
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=welding%20technology&as_epq=%22choice%20of%22&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=2011&as_yhi=2015&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Possibilities of improving properties of microalloyed steel weld metal by choice of welding process and technology|R Prokić-Cvetković, O Popović, R Jovičić… - … associated technology …, 2011 - tmt.unze.ba|http://www.tmt.unze.ba/zbornik/TMT2011/172-TMT11-084.pdf|2011|2|6|18363945674104407454|http://www.tmt.unze.ba/zbornik/TMT2011/172-TMT11-084.pdf|https://scholar.google.com/scholar?cites=18363945674104407454&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=18363945674104407454&hl=en&as_sdt=1,5&as_ylo=2011&as_yhi=2015|None|In this paper is shown the influence of welding process and technology on the weld metal properties. Microalloyed steel, low alloyed by Ti, Nb and V, is welded by MMA process and MIG/MAG process in the shielding atmospheres 5% CO2+ Ar and 15% CO2+ Ar. The testing …
