DAS IST PHRASE!
"Werkstoffauswahl"
We are sending from 151.237.185.110
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=&as_epq=%22Werkstoffauswahl%22&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=1966&as_yhi=1970&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Kondensatorrohre aus Kupferwerkstoffen Richtlinien für Werkstoffauswahl und Betriebsbedingungen|K Eichhorn - Materials and Corrosion, 1970 - Wiley Online Library|https://scholar.google.com/https://onlinelibrary.wiley.com/doi/abs/10.1002/maco.19700210702|1970|9|0|8133764823195860446|None|https://scholar.google.com/scholar?cites=8133764823195860446&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|Abstract 1 Die gebräuchlichsten Kupferlegierungen für Kondensatorrohre sind heute: CuZn28Sn (Sondermessing 71—Admiralitäts‐Messing) CuZn20Al (Sondermessing 76—Aluminium‐Messing) und die Kupfer‐Nickel‐Legierungen CuNi10Fe und CuNi30Fe. Ihre …
Richtlinien für Werkstoffauswahl und Korrosionsschutz in der chemischen Industrie|H Kölbel, J Schulze - Materials and Corrosion, 1966 - Wiley Online Library|https://scholar.google.com/https://onlinelibrary.wiley.com/doi/abs/10.1002/maco.19660170206|1966|1|0|275998961973690346|None|https://scholar.google.com/scholar?cites=275998961973690346&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|In der chemischen Technik werden die technischen Anforderungen an die Werkstoffe und Maßnahmen zum Korrosionsschutz differenzierter, während andererseits die Fortschritte auf dem Werkstoffgebiet aber auch immer mehr alternative brauchbare Lösungen zur …
Maßnahmen zur Erzielung optimaler Dauerschwingfestigkeit von Kurbelwellen durch Werkstoffauswahl und Wärmebehandlung|B Finnern, H Krzyminski - MTZ, 1967|None|1967|4|0|14870003186320638156|None|https://scholar.google.com/scholar?cites=14870003186320638156&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
Gesichtspunkte zur Werkstoffauswahl für schwingbeanspruchte Konstruktionen|W Schütz - Gegenwartiger Stand und küftige …, 1968 - Laboratorium für Betriebsfestigkeit …|None|1968|3|0|16248596569799829949|None|https://scholar.google.com/scholar?cites=16248596569799829949&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
Spaltanlagen, verfahrensgerechte Konstruktion und Werkstoffauswahl|O Rupf-Bolz - Das Gas-und Wasserfach, 110. Jahrg., 1969|None|1969|2|0|12150915543446854966|None|https://scholar.google.com/scholar?cites=12150915543446854966&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
