DAS IST PHRASE!
"Materialauswahl"
We are sending from 185.220.100.242
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=&as_epq=%22Materialauswahl%22&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=1981&as_yhi=1985&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Zur Materialauswahl und Darstellungsweise|A Svensson - Anspielung und Stereotyp, 1984 - Springer|https://scholar.google.com/https://link.springer.com/chapter/10.1007/978-3-322-84061-5_3|1984|0|0|None|None|None|None|None|Zusammenfassung Die empirische Grundlage meiner Arbeit bilden nur Texte der SPD auf “Bundesebene”. Von daher gesehen und auch von meinem Ansatz, daß SPD-Texte als SPD-Texte rezipiert werden, wenn die Texte Anspielungen auf frühere SPD-Texte enthalten …
SPANNUNGS-UND TEMPERATURANGEPASSTE VERFORMUNGSWERTE ALS HILFSMITTEL EINER BEANSPRUCHUNGSGERECHTEN MATERIALAUSWAHL …|S VELSKE - BITUMEN, 1983 - trid.trb.org|https://scholar.google.com/https://trid.trb.org/view/1012609|1983|0|0|None|None|None|None|None|VORGESTELLT WIRD EIN VERFAHREN, MIT DEM SICH DIE AUSWIRKUNG DER MATERIALAUSWAHL AUF DIE STANDFESTIGKEIT VON ASPHALTSCHICHTEN IN DER STRASSENBEFESTIGUNG ZAHLENMAESSIG UND DAMIT OBJEKTIVIERT …
TENDENZEN IN DER MATERIALAUSWAHL FUER PKW AUS DER SICHT DER SPORTWAGENENTWICKLUNG|H BOTT - 1981 - pascal-francis.inist.fr|https://scholar.google.com/https://pascal-francis.inist.fr/vibad/index.php?action=getRecordDetail&idt=PASCAL8300222192|1981|0|0|None|None|None|None|None|Sauf mention contraire ci-dessus, le contenu de cette notice bibliographique peut être utilisé dans le cadre d'une licence CC BY 4.0 Inist-CNRS/Unless otherwise stated above, the content of this bibliographic record may be used under a CC BY 4.0 licence by Inist-CNRS/A …
Der Dünnschicht-Feldeffekttransistor: physikalische Beschreibung, Materialauswahl und technologische Probleme sowie Anwendungsaspekte|H Lippmann - 1981 - na|None|1981|0|0|None|None|None|None|None|None
Keramische Sichtflächenmaterialien auf vorgefertigten Außenwänden: Materialauswahl und Verlegung|H Müller, A Hoppe, H Ruf - 1981 - Bauakademie der DDR …|None|1981|0|0|None|None|None|None|None|None
