DAS IST PHRASE!
"process selection"
We are sending from 31.220.0.202
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=&as_epq=%22process%20selection%22&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=1961&as_yhi=1965&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Mechanized process selection for planning new designs|BW Niebel - ASME paper, 1965|None|1965|109|0|9009604771761785595|None|https://scholar.google.com/scholar?cites=9009604771761785595&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
ECONOMICS OF PROCESS SELECTION IN IRON+ STEEL INDUSTRY|MDJ Brisby, PM Worthington… - Journal of the …, 1964 - INST MATERIALS 1 CARLTON …|None|1964|5|0|3499167073337340482|None|https://scholar.google.com/scholar?cites=3499167073337340482&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
THE SCREENING PROCESS-SELECTION OR REJECTION|GA Bassett - Personnel, 1962 - AMER MANAGEMENT ASSOC 1601 …|None|1962|2|0|13792985687664055384|None|https://scholar.google.com/scholar?cites=13792985687664055384&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Process selection for document reproduction|HR Verry - Unesco bulletin for libraries, 1963 - UNESCO 7 PLACE DE FONTENOY …|None|1963|2|0|14162316016744949810|None|https://scholar.google.com/scholar?cites=14162316016744949810&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
ECONOMICS OF PROCESS SELECTION IN IRON AND STEEL INDUSTRY|BR NIJHAWAN - JOURNAL OF THE IRON AND …, 1965 - INST MATERIALS 1 CARLTON …|None|1965|0|0|None|None|None|None|None|None
